ATTRACTIONID,ROOMID,DISTANCE
1,4917556,2.942295042
1,11088631,4.939633599
1,2009135,4.97517715
1,5827713,12.97408389
1,4069940,1.390302924
1,5797755,6.003760404
1,540039,4.149565992
1,4108082,2.657870112
1,241508,7.097367766
1,3753251,1.733629495
1,7605283,4.881966914
1,241510,7.127580753
1,2129215,7.329686893
1,4014457,11.90954208
1,2578828,3.7738352
1,1711237,3.830615761
1,5493930,1.891298273
1,4192138,1.512970014
1,6701181,2.528832299
1,9898367,9.529599487
1,6815242,0.748811656
1,705825,4.133583488
1,5827998,13.02759668
1,6859283,0.829347354
1,11012022,2.329092442
1,12482650,3.331671696
1,241503,7.252505819
1,8634722,0.140117823
1,8800763,5.49700808
1,6816440,0.775145488
1,5377342,0.349579979
1,5889741,0.384369473
1,7054222,0.464038526
1,5106648,12.53742038
1,982909,3.984743869
1,11094655,4.397927716
1,9786807,9.526608281
1,5919270,13.17870804
1,4271250,2.768758375
1,8779986,3.8069214
1,10222043,2.966622696
1,7959059,7.067976889
1,7798402,0.918079758
1,7843168,6.049352679
1,6560086,4.114480333
1,5087965,2.490756619
1,7039222,0.051250628
1,5494971,1.75085243
1,13283938,3.149386667
1,1302185,4.424966731
1,10635131,6.625960096
1,5292013,6.801098618
1,12536372,1.049921735
1,7827659,6.223527391
1,10848771,4.310779005
1,12703293,1.083080018
1,12057516,4.780027
1,5302526,7.018645508
1,10460541,7.023110813
1,6117032,4.193806838
1,6339047,2.591542564
1,10212859,4.154869719
1,9438498,4.318684706
1,12839857,1.139026937
1,8347511,11.69921416
1,8524350,2.691529029
1,8364495,4.041761354
1,14083824,0.573004877
1,9087797,3.165901611
1,12998449,1.016151054
1,6177811,0.72147698
1,10535136,4.07147111
1,9086839,7.155607336
1,8264717,11.11263141
1,4260022,3.071439826
1,10533297,1.258239744
1,12162272,1.109540187
1,7814843,6.177991277
1,7206286,3.211623862
1,8848001,3.943397262
1,5593298,5.673567379
1,3468326,8.334726578
1,7206292,3.083528712
1,13668348,2.151460498
1,6801932,5.661817548
1,7010578,6.771301312
1,1928296,8.025957644
1,5897641,2.121739204
1,12045684,11.86352463
1,7486716,9.433307023
1,6147142,13.0244765
1,3996965,8.13444894
1,5609608,16.74601143
1,16624470,1.281702495
1,16742219,1.15133104
1,15456092,2.412646336
1,13735926,1.965219276
1,5411817,3.226630824
1,10598600,11.92871854
1,11328867,1.066734037
1,16783283,6.992949578
1,4352268,3.12700403
1,12702541,0.518995477
1,15076028,2.676996575
1,12692872,0.510581313
1,13891078,2.037396777
1,12689870,15.11826721
1,17258078,9.180624864
1,16538491,3.832766669
1,7054234,0.581825963
1,16680449,8.694253834
1,8481522,6.512321761
1,17076211,3.538954208
1,16711871,3.215745861
1,13039292,1.164546304
1,17024297,2.989731637
1,7281023,2.454407531
1,16879118,15.24102154
1,12253253,7.530428136
1,9174843,3.411948214
1,12367388,1.089283029
1,17079343,1.282488355
1,9174588,3.164705898
1,16865763,1.843327109
1,15628107,6.631202066
1,5184871,6.168272151
1,13086804,16.99178316
1,13400865,15.23632988
1,17393895,1.463477586
1,17190987,1.834279706
1,10030097,1.501509214
1,15723286,3.939920735
1,16430071,1.318935292
1,10377877,9.873455831
1,16207220,2.934356735
1,4507632,12.38783836
1,11231419,1.93584684
1,17247062,6.798073964
1,14284724,0.786615412
1,9023549,5.447326358
1,16407748,2.721535911
1,9746208,2.381115229
1,4138944,3.115108723
1,16918412,2.585509356
1,12027436,2.504975339
1,14714463,6.897703156
1,11839854,1.360015944
1,17319574,1.81439806
1,7931127,4.286996801
1,5855352,2.198454833
1,17410297,12.82908883
1,14935293,0.560068647
1,10603464,3.84471485
1,16686418,1.512461807
1,16605632,1.390860725
1,13564613,4.721602234
1,9635192,2.210397984
1,10638481,1.488525823
1,17419085,12.5040707
1,17391535,5.662544134
1,8512566,3.02297496
1,6993627,4.108383411
1,16678046,5.255666225
1,8080848,14.11734913
1,17191010,2.936963297
1,13677363,1.244989922
1,8493657,3.379672024
1,16455638,2.374130583
1,4008423,1.326657489
1,16245505,2.562108429
1,1857162,11.66735555
1,9979272,3.946849129
1,11980197,12.81055654
1,13208950,2.078548455
1,16932344,3.487303821
1,14378115,3.673567479
1,8917044,3.086641098
1,16718834,3.12705506
1,16914032,9.569002881
1,7181966,1.672177595
1,9854265,1.851770696
1,13253512,3.852606778
1,6941608,0.578705051
1,9269255,14.35296426
1,17214557,6.669791443
1,17426064,6.379120115
1,13579926,14.97635572
1,6545993,16.09677128
1,15301844,6.215500963
1,16761767,4.076005464
1,15980632,9.970227022
1,12965299,12.525093
1,16148365,2.665712267
1,10773490,2.512516398
1,9174785,3.022359994
1,10511158,2.886371784
1,12592653,3.508128653
1,15208476,3.030632269
1,11480503,2.971264204
1,14716693,5.631258463
1,11930273,9.633053961
1,13053186,10.44545705
1,11711038,1.725311486
1,15347449,1.281656261
1,12774712,3.934156482
1,16683403,3.92344638
1,15208492,1.896466229
1,5832741,18.11470206
1,6352835,0.321060739
1,13086303,1.483208834
1,14792764,2.960911251
1,4301693,10.02980178
1,15813306,7.196610841
1,11330077,5.453068965
1,4499317,0.865209263
1,9976972,15.93246954
1,13283783,1.909807869
1,13592807,6.291551034
1,16608371,3.831623203
1,16604529,9.067303301
1,7388897,4.667063122
1,9532339,6.262750251
1,15924667,2.407888796
1,16668898,9.844750963
1,10502330,6.85683375
1,5071647,5.331574955
1,16074353,18.08135035
1,11992127,5.471941175
1,11422453,3.071712717
1,16212105,3.289119197
1,8174016,0.285149991
1,16469545,9.824639419
1,7741672,1.51689958
1,12620772,9.223645309
1,16976541,1.864696577
1,15136823,15.68207058
1,15281997,10.91748269
1,15750877,1.855690235
1,16199811,6.558702066
1,15547505,2.382376375
1,11489190,3.784298502
1,5809483,0.8252778
1,10818230,1.63356214
1,9654411,17.50350817
1,11933991,10.03957693
1,14196558,12.75224682
1,16683215,3.988109346
1,13756140,5.668615189
1,8932274,6.791196675
1,17207382,8.29879216
1,10321451,6.340839764
1,7791384,3.060871964
1,16421769,11.85516974
1,16819478,3.057523848
1,17125503,2.504597369
1,9348542,12.66328395
1,4022486,4.150461067
1,7894542,1.040432455
1,13870260,1.150955024
1,11591661,2.655521931
1,15265312,1.513824918
