ATTRACTIONID,ROOMID,DISTANCE
1,4917556,3.837
1,11088631,10.192
1,2009135,6.826
1,5827713,19.395
1,4069940,2.311
1,5797755,9.655
1,540039,7.07
1,4108082,4.124
1,241508,12.355
1,3753251,2.654
1,7605283,6.057
1,241510,12.382
1,2129215,12.638
1,4014457,19.697
1,2578828,5.671
1,1711237,5.746
1,5493930,3.351
1,4192138,2.77
1,6701181,3.956
1,9898367,14.615
1,6815242,1.314
1,705825,7.317
1,5827998,19.314
1,6859283,1.412
1,11012022,3.937
2,4917556,4.58
2,11088631,6.482
2,2009135,6.713
2,5827713,17.171
2,4069940,4.051
2,5797755,7.208
2,540039,8.866
2,4108082,4.007
2,241508,10.131
2,3753251,2.752
2,7605283,5.507
2,241510,10.158
2,2129215,10.414
2,4014457,22.109
2,2578828,5.557
2,1711237,5.632
2,5493930,5.146
2,4192138,6.669
2,6701181,3.839
2,9898367,12.391
2,6815242,2.836
2,705825,9.113
2,5827998,17.09
2,6859283,2.934
2,11012022,5.825
3,4917556,12.321
3,11088631,14.35
3,2009135,14.854
3,5827713,23.554
3,4069940,6.459
3,5797755,16.008
3,540039,11.229
3,4108082,2.329
3,241508,16.513
3,3753251,4.303
3,7605283,3.358
3,241510,16.54
3,2129215,16.797
3,4014457,23.856
3,2578828,13.666
3,1711237,13.742
3,5493930,7.509
3,4192138,9.032
3,6701181,2.631
3,9898367,18.773
3,6815242,6.396
3,705825,11.476
3,5827998,23.472
3,6859283,6.494
3,11012022,8.188
4,4917556,5.308
4,11088631,7.21
4,2009135,9.088
4,5827713,20.391
4,4069940,4.941
4,5797755,10.242
4,540039,9.678
4,4108082,2.955
4,241508,10.859
4,3753251,2.784
4,7605283,4.745
4,241510,10.886
4,2129215,11.143
4,4014457,22.305
4,2578828,6.285
4,1711237,6.361
4,5493930,5.958
4,4192138,7.481
4,6701181,3.256
4,9898367,13.119
4,6815242,5.341
4,705825,9.925
4,5827998,20.31
4,6859283,5.439
4,11012022,6.637
1,12482650,4.983
1,241503,12.768
1,8634722,0.219
1,8800763,7.361
1,6816440,1.322
1,5377342,2.428
1,5889741,0.88
1,7054222,0.822
1,5106648,18.287
1,982909,5.883
1,11094655,5.637
1,9786807,14.648
1,5919270,19.113
1,4271250,4.144
1,8779986,5.75
1,10222043,3.673
1,7959059,10.263
1,7798402,1.734
1,7843168,9.447
1,6560086,6.163
1,5087965,4.119
1,7039222,0.252
1,5494971,3.531
1,13283938,4.18
1,1302185,6.259
2,12482650,4.87
2,241503,10.543
2,8634722,1.949
2,8800763,7.275
2,6816440,2.844
2,5377342,3.488
2,5889741,1.881
2,7054222,2.202
2,5106648,20.699
2,982909,11.094
2,11094655,5.551
2,9786807,12.424
2,5919270,16.889
2,4271250,4.027
2,8779986,5.636
2,10222043,9.877
2,7959059,11.594
2,7798402,3.256
2,7843168,9.361
2,6560086,6.05
2,5087965,4.065
2,7039222,2.061
2,5494971,5.327
2,13283938,4.922
2,1302185,6.146
3,12482650,12.961
3,241503,16.926
3,8634722,5.613
3,8800763,13.714
3,6816440,6.404
3,5377342,9.716
3,5889741,5.533
3,7054222,5.762
3,5106648,22.446
3,982909,10.243
3,11094655,11.963
3,9786807,18.806
3,5919270,23.271
3,4271250,2.819
3,8779986,13.746
3,10222043,9.025
3,7959059,14.422
3,7798402,8.75
3,7843168,15.8
3,6560086,13.82
3,5087965,4.047
3,7039222,5.724
3,5494971,7.689
3,13283938,12.664
3,1302185,14.465
4,12482650,5.598
4,241503,11.272
4,8634722,2.941
4,8800763,7.948
4,6816440,5.349
4,5377342,4.456
4,5889741,4.188
4,7054222,3.281
4,5106648,20.895
4,982909,8.692
4,11094655,6.223
4,9786807,13.152
4,5919270,20.109
4,4271250,3.444
