ATTRACTIONID,FOODID,DISTANCE
1,1,6.033
1,2,3.905
1,3,13.741
1,4,4.27
1,5,1.962
1,6,10.039
1,7,10.232
1,8,11.293
1,9,9.879
1,10,11.688
1,11,11.688
1,12,11.688
1,13,9.414
1,14,4.787
1,15,3.07
1,16,3.338
1,17,2.353
1,18,2.846
1,19,10.838
1,20,10.018
1,21,13.029
1,22,22.41
1,23,9.806
1,24,4.225
1,25,4.308
2,1,13.278
2,2,3.072
2,3,13.655
2,4,4.368
2,5,3.022
2,6,11.779
2,7,12.644
2,8,11.558
2,9,7.223
2,10,11.602
2,11,11.602
2,12,11.602
2,13,8.343
2,14,4.673
2,15,2.238
2,16,2.505
2,17,4.093
2,18,2.815
2,19,10.009
2,20,12.43
2,21,15.441
2,22,19.828
2,23,11.43
2,24,4.292
2,25,4.164
3,1,8.312
3,2,5.128
3,3,20.093
3,4,2.377
3,5,9.25
3,6,14.495
3,7,14.391
3,8,5.948
3,9,16.231
3,10,18.04
3,11,18.04
3,12,18.04
3,13,6.508
3,14,12.765
3,15,4.552
3,16,4.819
3,17,5.087
3,18,9.596
3,19,5.959
3,20,14.177
3,21,17.187
3,22,16.72
3,23,5.985
3,24,0.582
3,25,2.164
4,1,14.006
4,2,1.378
4,3,14.328
4,4,3.208
4,5,3.99
4,6,16.725
4,7,12.84
4,8,10.68
4,9,10.466
4,10,12.274
4,11,12.274
4,12,12.274
4,13,8.136
4,14,5.402
4,15,1.871
4,16,1.137
4,17,4.982
4,18,4.526
4,19,7.941
4,20,12.626
4,21,15.637
4,22,18.951
4,23,10.552
4,24,3.124
4,25,2.79
1,26,10.649
1,27,0.897
1,28,10.915
1,29,3.401
1,30,11.286
1,31,7.093
1,32,5.267
1,33,6.11
1,34,6.242
1,35,6.242
1,36,6.242
1,37,6.242
1,38,6.242
1,39,6.242
1,40,6.242
1,41,6.242
1,42,6.242
1,43,6.242
1,44,6.242
1,45,8.452
1,46,10.646
1,47,10.434
1,48,17.593
1,49,3.424
1,50,6.941
2,26,7.092
2,27,1.801
2,28,7.92
2,29,3.499
2,30,10.95
2,31,6.56
2,32,4.734
2,33,5.951
2,34,6.128
2,35,6.128
2,36,6.128
2,37,6.128
2,38,6.128
2,39,6.128
2,40,6.128
2,41,6.128
2,42,6.128
2,43,6.128
2,44,6.128
2,45,8.749
2,46,13.058
2,47,12.846
2,48,19.732
