ROOMID,FOODID,DISTANCE
4917556,1,9.444
4917556,2,6.322
4917556,3,11.31
4917556,4,11.318
4917556,5,2.76
4917556,6,14.744
4917556,7,8.81
4917556,8,15.381
4917556,9,3.552
4917556,10,9.256
4917556,11,9.256
4917556,12,9.256
4917556,13,12.555
4917556,14,1.501
4917556,15,5.975
4917556,16,6.47
4917556,17,6.711
4917556,18,1.978
4917556,19,15.719
4917556,20,8.597
4917556,21,11.607
4917556,22,24.832
4917556,23,13.894
4917556,24,10.688
4917556,25,11.104
11088631,1,11.402
11088631,2,10.783
11088631,3,9.682
11088631,4,13.276
11088631,5,4.973
11088631,6,16.702
11088631,7,7.64
11088631,8,17.339
11088631,9,2.023
11088631,10,7.629
11088631,11,7.629
11088631,12,7.629
11088631,13,14.512
11088631,14,3.259
11088631,15,7.771
11088631,16,10.931
11088631,17,8.669
11088631,18,4.191
11088631,19,17.068
11088631,20,7.426
11088631,21,13.565
11088631,22,26.79
11088631,23,15.852
11088631,24,12.646
11088631,25,13.062
2009135,1,11.522
2009135,2,10.23
2009135,3,9.129
2009135,4,13.395
2009135,5,5.266
2009135,6,16.821
2009135,7,7.76
2009135,8,19.228
2009135,9,1.791
2009135,10,7.075
2009135,11,7.075
2009135,12,7.075
2009135,13,14.632
2009135,14,2.139
2009135,15,7.642
2009135,16,10.378
2009135,17,8.788
2009135,18,5.341
2009135,19,16.514
2009135,20,7.546
2009135,21,13.685
2009135,22,27.498
2009135,23,15.972
2009135,24,12.766
2009135,25,13.182
5827713,1,19.734
5827713,2,20.186
5827713,3,3.829
5827713,4,21.608
5827713,5,15.244
5827713,6,25.034
5827713,7,19.101
5827713,8,25.672
5827713,9,10.183
5827713,10,10.479
5827713,11,10.479
5827713,12,10.479
5827713,13,22.845
5827713,14,13.24
5827713,15,20.378
5827713,16,20.333
5827713,17,17.001
5827713,18,14.484
5827713,19,26.47
5827713,20,18.887
5827713,21,22.418
5827713,22,35.122
5827713,23,24.185
5827713,24,20.979
5827713,25,21.395
4917556,26,14.737
4917556,27,3.156
4917556,28,15.004
4917556,29,10.96
4917556,30,7.11
4917556,31,13.04
4917556,32,11.131
4917556,33,12.348
4917556,34,1.751
4917556,35,1.751
4917556,36,1.751
4917556,37,1.751
4917556,38,1.751
4917556,39,1.751
4917556,40,1.751
4917556,41,1.751
4917556,42,1.751
4917556,43,1.751
4917556,44,1.751
4917556,45,4.916
4917556,46,9.225
4917556,47,9.012
4917556,48,20.015
4917556,49,2.976
4917556,50,9.312
11088631,26,16.695
11088631,27,6.122
11088631,28,16.961
11088631,29,12.918
11088631,30,6.292
11088631,31,14.389
11088631,32,13.088
11088631,33,14.563
11088631,34,2.07
11088631,35,2.07
11088631,36,2.07
11088631,37,2.07
11088631,38,2.07
11088631,39,2.07
11088631,40,2.07
11088631,41,2.07
11088631,42,2.07
11088631,43,2.07
11088631,44,2.07
11088631,45,6.874
11088631,46,11.182
11088631,47,10.97
11088631,48,21.973
11088631,49,5.477
11088631,50,11.27
2009135,26,15.15
2009135,27,7.51
2009135,28,15.978
2009135,29,13.038
2009135,30,6.411
