Name,longitude,latitude,Category,Ticket_price,Popular Attractions as in Lonely Planet,Rating,Opening_hours,Description
lasalle college of the arts,103.8516,1.3029,architecture,0,0,4.7,"Tuesday to Sunday, 12pm - 7pm, Closed on Monday and public holidays","Housed in a tertiary arts college, the Institute of Contemporary Arts Singapore will help you deepen your appreciation for experimental artworks."
old supreme court,103.85128,1.2897,architecture,0,0,4.2,Expected to open in 2015,"Due to reopen as the National Gallery Singapore, the Old Supreme Court is in itself a masterpiece of classical art."
sit flats,103.8336,1.28351,architecture,0,0,4.3,"Daily, 24 hours",The Art Deco elegance of the flats in Tiong Bahru speak of the richness of a vanished world.
lau pa sat,103.85044,1.28072,architecture,0,0,4.2,"Daily, 24 hours","The historic market Lau Pa Sat offers a winning combination of graceful colonial architecture, a longstanding heritage and delicious food."
pinnacle at duxton,103.84142,1.27549,architecture,0,0,4.5,"50th storey Skybridge, Daily, 9am _10pm","With its lofty towers and dizzying sky gardens, the Pinnacle at Duxton takes residential living to soaring new heights."
hajjah fatimah mosque,103.86285,1.30291,architecture,0,0,4.6,"Daily, 9am _9pm","With its tilting European-style minaret and Chinese tiling, the Hajjah Fatimah Mosque is one of the most unique mosques in Singapore."
haw par villa,103.78314,1.28551,heritage,0,0,4.1,"Daily, 9am _ 7pm",A visit to the Haw Par Villa theme park is an unforgettable journey into Chinese folklore and mythology.
nus baba house,103.83731,1.27731,heritage,10,1,4.7,"Visits are by appointment only.Visitors must sign up in advance for heritage tours which fall on:Monday, 2pm _ 3pm,Tuesday, 6.30pm _ 7.30pm,Thursday, 10am _ 11am,Saturday, 11am _ 12pm","NUS Baba House is a heritage house that gives a rich look at Singapore's Peranakan community, thanks to beautifully preserved architecture and artefacts."
hong san see,103.841222,1.29316,architecture,0,0,5,"Daily, 24 hours",Dancing dragons and prancing phoenixes are just some of the visual delights to catch at the exquisitely restored Hong San See temple.
malay heritage centre,103.85986,1.30309,heritage,4,1,4.3,"Malay Heritage Centre Museum, Tuesday to Sunday, 10am _ 6pm, Closed on Monday, Malay Heritage Centre Compound, Tuesday to Sunday, 8am _ 8pm, Friday and Saturday, 8am _ 10pm, Closed on Monday",The Malay Heritage Centre is a must-visit if you??re keen on learning about the rich heritage and culture of Singapore??s Malay community.
peranakan museum,103.8492,1.29421,heritage,6,1,4.3,"Saturday to Thursday, 10am _ 7pm, Friday, 10am _ 9pm","At the Peranakan Museum, get to know Singapore??s vibrant Peranakan community and its eclectic culture and history with fun and interactive exhibits."
raffles hotel,103.85404,1.29579,architecture,0,0,4.4,"Daily, 24 hours","Sip a Singapore Sling beneath the whirling fans at the Long Bar, and let the tranquil charms of Raffles Singapore bring you back into another era."
gillman barracks,103.80459,1.2784,arts,0,0,4.3,"Tuesday to Saturday, 11am - 7pm, Sunday, 11am - 6pm , Galleries closed on Monday and public holidays.","Gillman Barracks Singapore is Asia??s vibrant new destination for the creation, exhibition and discussion of contemporary art."
chinatown heritage centre,103.84435,1.28351,heritage,10,1,4.3,"Daily, 9am _ 8pm,Last entry at 7pm.*Chinatown Heritage Centre will be closed for renovation from 1 October 2014 till end-2015.","At the Chinatown Heritage Centre, experience how Singapore??s early Chinese migrants once lived and learn more about local Chinese culture."
thian hock keng temple,103.84763,1.28094,heritage,0,0,4.4,"Daily, 7.30am _ 5.30pm","Thian Hock Keng Temple is the oldest Chinese temple in Singapore and dedicated to Mazu, the Goddess of the Sea."
eurasian heritage centre,103.89942,1.31007,heritage,0,0,4.4,"Tuesday to Sunday, 9am _ 6pm, Closed on Monday",This engaging heritage attraction takes you through the history and culture of the Eurasian community in Singapore.
shophouses typology,103.837336,1.277219,architecture,0,0,4.3,"Daily, 24 hours","Few buildings epitomise our culture as fully as the shophouse, with its surprisingly harmonious mix of diverse design elements."
capitol building singapore,103.85157,1.29354,architecture,0,0,4.5,"Daily, 24 hours","Now undergoing massive restoration works, Capitol Building will emerge as Singapore??s premier entertainment hub next year."
esplanade theatres on the bay,103.85528,1.28986,architecture,0,1,4.5,"Box Office Opening Hours Daily, 12pm _ 8.30pm, The Esplanade Box Office will open 1 hour prior to show commencement for shows before 12 noon and will remain open up to half an hour after show commencement for shows starting after 8.30pm.",Esplanade Theatres on the Bay is the country??s premier arts centre as well as an iconic landmark on the city??s skyline.
gardens by the bay,103.863613,1.281568,architecture,0,1,4.7,"Bay South Outdoor Gardens Daily, 5am - 2am Cooled Conservatories and OCBC Skyway Daily, 9am - 9pm(last ticket sale at 8pm).Far East Organization Children's Garden Tuesday* to Friday, 10am - 7pm(last admission: 6.30pm)*Closed on Tuesday if a public holiday falls on the preceding Monday Weekends and public holidays, 9am - 9pm(last admission: 8.30pm)","Gardens by the Bay provides mesmerising waterfront views across three gardens, spanning over 101 hectares of reclaimed land."
the interlace,103.80305,1.28199,architecture,0,0,4.4,"Daily, 24 hours","Few buildings demonstrate out-of-the-box thinking as well as The Interlace, an intriguingly designed residential complex."
parkroyal on pickering,103.846522,1.285563,architecture,0,0,4.5,"Daily, 24 hours",PARKROYAL on Pickering is a luxurious garden oasis in downtown Singapore.
national museum of singapore,103.84883,1.29689,museums,10,1,4.4,"Singapore History Gallery Daily, 10am _ 6pm,Last admission at 5.30pm.Singapore Living Galleries Daily, 10am _ 8pm Free admission from 6pm _8pm , Last admission at 7.30pm",The National Museum of Singapore is a progressive showcase of the country??s history and culture.
japanese cemetery park,103.87584,1.36431,memorials,0,0,4.2,"Daily, 24 hours","The Japanese Cemetery Park is the largest Japanese cemetery in Southeast Asia, containing nearly 1,000 graves of Singapore??s early Japanese community."
dalhousie obelisk,103.85238,1.28704,memorials,0,0,4,"Daily, 24 hours",Dalhousie Obelisk at Empress Place is a famous architectural landmark in Singapore.
sir raffles statue landing site,103.850845,1.287766,memorials,0,0,4,"Daily, 24 hours","Raffles Statue depicts the founder of modern Singapore, Sir Stamford Raffles. Two statues exist today, at the Raffles Landing Site and Empress Place."
